siteID,submission_dt,date,bandNumber,type,status,notes,delete_flag
CARLSHIMD1,,2009-03-15,2301-56600,P,alive,"yearColumn = 2008, Banded May 26; yearColumn = 2009, resighted by participant 2009; yearColumn = 2012, Resighted 6/20/2012",0
MOLIKARMD1,,2009-03-15,1232-87902,P,alive,"yearColumn = 2007, banded 7 June; yearColumn = 2009, resighted by BBL contact",0
SOLIAPRMD1,,2009-03-15,2341-30308,P,found dead,"yearColumn = 2008, banded 21 June; yearColumn = 2009, found dead",0
TATEJUAMD1,,2009-03-15,1202-99042,P,alive,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant (unknown date); yearColumn = 2010, resighted by participant (unknown date); yearColumn = 2014, re-sighted by participant Mar, Apr, May and Dec 2014; yearColumn = 2015, resighted by participant Mar and Apr 2015",0
TINIKATMD1,,2009-03-15,2460-22824,P,alive,"yearColumn = 2007, banded 4 june; yearColumn = 2009, Resighted by Participant",0
YOUNELIMD1,,2009-03-15,2301-56589,P,alive,"yearColumn = 2008, Banded June 3; yearColumn = 2009, resighted by participant in 2009; yearColumn = 2010, resighted 6/17/2010",0
FREYFREMD1,,2009-03-22,2201-21799,P,alive,"yearColumn = 2007, 19 May; resighted by participant 11November.; yearColumn = 2009, resighted by participant 22 March",0
FREYFREMD1,,2009-03-22,2540-63042,P,alive,"yearColumn = 2008, banded_18 July; yearColumn = 2009, resighted by participant 22 March",0
FREYFREMD1,,2009-03-22,2540-63044,P,alive,"yearColumn = 2008, banded_18 July; yearColumn = 2009, resighted by participant 22 March",0
FREYFREMD1,,2009-03-25,1991-46118,P,alive,"yearColumn = 2007, 19 May; resighted by participant 10 Nov.; yearColumn = 2008, resighted by participant 28 November; yearColumn = 2009, resighted by participant 25 March",0
WOODPAUVA1,,2009-03-25,2301-08219,P,alive,"yearColumn = 2007, banded by participant 1/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by participant 10,25 March; 20 May; yearColumn = 2010, resighted by participant 27 March; 7 June",0
BALASUCMD1,,2009-03-28,1232-87912,P,alive,"yearColumn = 2008, banded 6/7; yearColumn = 2009, resighted 28 March by participant",0
BALASUCMD1,,2009-03-28,1232-87913,P,alive,"yearColumn = 2008, banded 6/7; yearColumn = 2009, resighted 28 March by participant; yearColumn = 2010, Resight by participant Summer 2010; yearColumn = 2011, resighted by participant 20 March; yearColumn = 2012, resighted by participant 3/5, 4/7, 6/7.",0
BARBJERMD1,,2009-03-28,2250-24385,P,alive,"yearColumn = 2002, banded 18 Sept; yearColumn = 2008, resight 6/2/08; yearColumn = 2009, resighted by participant 28 March",0
BUISNORVA1,,2009-03-28,1991-21136,P,alive,"yearColumn = 2007, Banded 30 June; yearColumn = 2009, resighted by participant 13 Feb, 28 march; yearColumn = 2010, resighted by participant 11-13-2010",0
BUISNORVA1,,2009-03-28,2510-03833,P,alive,"yearColumn = 2008, Banded July 13; yearColumn = 2009, resighted by participant 28 March; yearColumn = 2010, resighted by participant 5/29/10",0
BUISNORVA1,,2009-03-28,2510-03834,P,alive,"yearColumn = 2008, Banded July 13; yearColumn = 2009, resighted by participant 13 Feb, 28 March",0
FISHFERVA1,,2009-03-31,2510-03826,P,alive,"yearColumn = 2008, Banded June 22; yearColumn = 2009, resighted by participant 31 March; yearColumn = 2010, resighted by participant 16 April; yearColumn = 2011, resighted by participant 16 March, May 10; yearColumn = 2012, Recapture 5/26/2012; yearColumn = 2013, resighted by participant in april, recaptured 5/6/2013",0
VERSBETMD2,,2009-04-04,2540-62817,P,alive,"yearColumn = 2008, banded_6/11/08; yearColumn = 2009, resighted by participant 4 April, 2 Jul; yearColumn = 2010, resighted by participant 5/29/2010; yearColumn = 2012, resighted 6/7/2012; yearColumn = 2013, resighted 6/2013; yearColumn = 2014, resighted 3/31/14 by tech",0
SCHLROBMD1,,2009-04-05,2350-07896,P,alive,"yearColumn = 2004, banded; yearColumn = 2007, resighted 2 May, 8 Aug, 18 Dec; yearColumn = 2008, resighted 19 June; yearColumn = 2009, resighted by participant 5 April, 5 Feb",0
STEWBETMD1,,2009-04-05,2281-69406,P,alive,"yearColumn = 2007, Banded June 15; yearColumn = 2008, resighted by participant 13 April, recaptured 7/8/08; yearColumn = 2009, resighted by participant 5 april Recap 5/13/2009; yearColumn = 2010, resighted 6/5/2010; by participant 26 sept.; yearColumn = 2013, resighted by participant 28 April",0
STEWBETMD1,,2009-04-05,2301-56639,P,alive,"yearColumn = 2008, banded_7/8/08; yearColumn = 2009, resighted by participant 5 April",0
KNIGSALVA1,,2009-04-12,2341-30134,P,alive,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 12 april, 8 august, 13 Sept; yearColumn = 2010, resighted by participant 1, 16 April",0
BUISNORVA1,,2009-04-13,2281-69425,P,alive,"yearColumn = 2007, Banded 30 June; yearColumn = 2008, resighted 1 March by participant; yearColumn = 2009, resighted by participant 13 April",0
BUISNORVA1,,2009-04-13,2301-56542,P,alive,"yearColumn = 2008, Banded July 13; yearColumn = 2009, resighted by participant 13 April",0
CAMPROSMD1,,2009-04-15,2341-30126,P,alive,"yearColumn = 2008, banded 25 June; yearColumn = 2009, resighted by participant 4/2009",0
LYONLYNVA1,,2009-04-15,2341-30011,P,alive,"yearColumn = 2008, banded_6/30; yearColumn = 2009, resighted by participant april 2009",0
MISSEDDC1,,2009-04-15,2301-56905,P,alive,"yearColumn = 2007, Banded 21 June; yearColumn = 2008, Resighted June 27; yearColumn = 2009, resighted by participant spring 2009; yearColumn = 2010, Resighted 6/7/2010",0
RAUNERIMD1,,2009-04-18,2540-62904,P,alive,"yearColumn = 2008, banded_6/9; yearColumn = 2009, resighted by participant 18 April; Recap 5/11/2009",0
KNIGSALVA1,,2009-04-21,2301-56867,P,alive,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 21 april; yearColumn = 2010, resighted by participant 8 Jan 2011",0
KNIGSALVA1,,2009-04-21,2301-56868,P,alive,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 21 april",0
KNIGSALVA1,,2009-04-21,2301-56869,P,alive,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 21 april",0
KNIGSALVA1,,2009-04-21,2301-56870,P,alive,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 21 april",0
BALASUCMD1,,2009-04-22,2301-55929,P,alive,"yearColumn = 2008, banded 6/7; yearColumn = 2009, resighted by participant 22 april",0
BARBJERMD1,,2009-04-25,2460-22920,P,alive,"yearColumn = 2007, banded 27 June; yearColumn = 2009, resighted by participant 25 april recapture 13 Jul; yearColumn = 2010, resighted by participant 25 May, recap 7/2/10; yearColumn = 2011, resighted by participant 25 April",0
WARDDOUVA1,,2009-04-26,1991-46191,P,alive,"yearColumn = 2008, banded 5 july; yearColumn = 2009, resighted by participant 26 April; yearColumn = 2010, resighted by participant 5 June; recap 6/5; yearColumn = 2011, resighted by participant 23 April",0
HITCHBJMD1,,2009-04-30,1991-46172,P,alive,"yearColumn = 2008, banded 6/5/2008; yearColumn = 2009, resighted by participant 30 April",0
HITCHBJMD1,,2009-04-30,2460-22943,P,alive,"yearColumn = 2008, banded 6/5/2008; yearColumn = 2009, resighted by participant 30 April; yearColumn = 2010, recaptured 7/16/10",0
TATEJUAMD1,,2009-05-02,2301-55943,P,alive,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant 2 May; yearColumn = 2010, resighted by participant 14 May",0
THOMSUEMD1,,2009-05-03,2400-00700,P,alive,"yearColumn = 2007, Banded 7 June; yearColumn = 2009, resighted 5/3/09 by participant",0
WOODPAUVA1,,2009-05-10,841-76332,P,alive,"yearColumn = 2007, banded by participant; yearColumn = 2008, recaptured 7/1/2008; yearColumn = 2009, resighted by participant 10 May",0
STEWBETMD1,,2009-05-13,2301-56636,P,alive,"yearColumn = 2008, banded 7/8/08; yearColumn = 2009, Resight by participant, 5/13/2009",0
CAMPROSMD1,,2009-05-15,2301-56837,P,alive,"yearColumn = 2008, banded 25 June; yearColumn = 2009, resighted by participant 5/2009; yearColumn = 2010, Recaptured 7/27/2010",0
BOONGREMD1,,2009-05-18,2281-69497,P,alive,"yearColumn = 2008, banded_7/16/2008; yearColumn = 2009, resighted by participant 18 May; ; yearColumn = 2010, recap 6/4",0
COLSKATMD1,,2009-05-24,2251-80739,P,alive,"yearColumn = 2006, banded June 11; yearColumn = 2008, resighted 6/19/2008; yearColumn = 2009, resighted by participant 24 May",0
KEYESUSMD1,,2009-05-27,2460-22922,P,alive,"yearColumn = 2007, banded 28-Jun; yearColumn = 2008, resighted by participant 30-Jun; yearColumn = 2009, resighted by particpant 27-May",0
STEWBETMD1,,2009-05-29,2301-56640,P,alive,"yearColumn = 2008, banded_7/8/08; yearColumn = 2009, resighted by participant 29 May",0
BEALTOMMD1,,2009-06-03,2460-22953,P,alive,"yearColumn = 2008, banded 20 june; yearColumn = 2009, banded 5/22/09. resighted by particpant 3 June; yearColumn = 2010, recap 7/13; yearColumn = 2012, Resight 5/2012",0
BEALTOMMD1,,2009-06-03,2260-22952,P,alive,"yearColumn = 2008, banded 20 june; yearColumn = 2009, recap 5/22/09.resighted by participant 3 June",0
BEALTOMMD1,,2009-06-04,2251-80301,P,alive,"yearColumn = 2008, banded 20 june; yearColumn = 2009, resighted by participant 4 June; yearColumn = 2010, recap 7/13",0
WARDDOUVA1,,2009-06-04,2251-80310,P,alive,"yearColumn = 2008, banded 5 july; yearColumn = 2009, resighted 4 June by participant. Recap 6/28/2009; yearColumn = 2010, resighted 9 May by participant; yearColumn = 2014, Recaptured, 4/12/14",0
WOODPAUVA1,,2009-06-05,2490-86325,P,found dead,"yearColumn = 2008, banded by participant, rebanded; yearColumn = 2009, resighted by participant 5 June; yearColumn = 2010, resighted by participant 26 March; found dead by participant 7 Oct.",0
TATEJUAMD1,,2009-06-12,1202-99041,P,alive,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, RESIGHTED BY PARTICIPANT 6/12/09; yearColumn = 2010, resighted by participant 22 June",0
STANJEFMD1,,2009-06-13,2301-55933,P,alive,"yearColumn = 2008, banded 11 June; yearColumn = 2009, resighted by participant 13 June",0
TATEJUAMD1,,2009-06-13,2460-22744,P,alive,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, RESIGHTED BY PARTICIPANT JUNE/13/09",0
GECACARVA1,,2009-06-21,2301-56567,P,alive,"yearColumn = 2008, Banded June 18; yearColumn = 2009, resighted by participant 21 June
; yearColumn = 2010, resighted by participant 5/1/2011; yearColumn = 2012, 6/6/2012 resight by participant; yearColumn = 2013, resighted 2013; yearColumn = 2015, Resighted by participant",0
WARDDOUVA1,,2009-06-24,1991-46189,P,alive,"yearColumn = 2008, banded 5 july; yearColumn = 2009, resighted by participant 24 June.",0
LIEBJUDMD1,,2009-06-25,2281-69478,P,alive,"yearColumn = 2008, banded_6/19/08; yearColumn = 2009, resighted by participant<d5>s neighbor 25 June; yearColumn = 2010, resighted 5/27/2010",0
GERWJOHNC1,,2015-09-06,2180-92459,P,alive,,0
PHARAIMMD1,,2009-06-25,2301-55948,P,alive,"yearColumn = 2008, BANDED 16 June; yearColumn = 2009, resighted by participant 6/25",0
LANDCELVA1,,2009-07-02,2301-56632,P,alive,"yearColumn = 2008, banded_7/1/08; yearColumn = 2009, resighted by participant 2 July; yearColumn = 2010, resighted by participant 5, 9 April; 10 July; yearColumn = 2011, resighted by participant 07/06/2011",0
VERSBETMD2,,2009-07-02,2540-62817,P,alive,"yearColumn = 2008, banded_6/11/08; yearColumn = 2009, resighted by participant 4 April, 2 Jul; yearColumn = 2010, resighted by participant 5/29/2010; yearColumn = 2012, resighted 6/7/2012; yearColumn = 2013, resighted 6/2013; yearColumn = 2014, resighted 3/31/14 by tech",0
CAMPLIBMD1,,2009-07-15,1751-09330,P,alive,"yearColumn = 2004, banded 20 July; yearColumn = 2009, resighted by participant summer 2009",0
KNIGSALVA1,,2009-08-08,2341-30134,P,alive,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 12 april, 8 august, 13 Sept; yearColumn = 2010, resighted by participant 1, 16 April",0
PERRCHRMD1,,2009-08-08,2301-56601,P,alive,"yearColumn = 2008, banded_5/28/08; yearColumn = 2009, resighted by participant 8 August; yearColumn = 2010, resighted by participant 28 Feb; resight 7/7; yearColumn = 2012, resighted by participant 03/15/2012",0
VERSBETMD2,,2009-08-15,2441-14041,P,alive,"yearColumn = 2009, banded 7/2/2009; yearColumn = 2010, resighted by participant 9x 08/09-04/10; resighted 5/29/2010
; yearColumn = 2014, resighted 6/21/2014",0
TATEJUAMD1,,2009-08-29,2301-55945,P,alive,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant 29 August",0
WOODPAUVA1,,2009-08-31,2301-08226,P,alive,"yearColumn = 2007, banded as SY by participant 1/12/2007; yearColumn = 2008, recaptured by NNW 7/1/2008; yearColumn = 2009, resighted by participant 31 August",0
KNIGSALVA1,,2009-09-13,2341-30134,P,alive,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 12 april, 8 august, 13 Sept; yearColumn = 2010, resighted by participant 1, 16 April",0
CAMPGLOMD1,,2009-10-22,2281-69468,P,alive,"yearColumn = 2008, banded_6/9/08; resighted by participant 9/20/08; yearColumn = 2009, resighted by participant 1/24/09-10/22/09",0
LANDCELVA1,,2009-11-14,2281-69118,P,alive,"yearColumn = 2007, banded 7-Jul; yearColumn = 2009, resighted by participant 14 November; yearColumn = 2010, resighted by participant 19 March, 21 April; 24 June; resighted 6/4",0
GECACARVA1,,2009-11-15,2460-22847,P,alive,"yearColumn = 2007, banded 13-Jul; yearColumn = 2008, resighted by particpant 1 march, resighted by bander June 18; yearColumn = 2009, resighted by participant in the fall; yearColumn = 2011, resighted by participant 2/11/12",0
SOLIAPRMD1,,2009-11-15,1202-99045,P,alive,"yearColumn = 2008, banded 6/21/2008 ; yearColumn = 2009, resighted by participant fall 2009",0
CAUSSUSMD1,,2009-12-15,2301-56050,P,alive,"yearColumn = 2008, banded_6/18; yearColumn = 2009, resighted by participant in winter <d4>09/<d5>10",0
NEWBCARVA1,,2009-12-18,2281-69427,P,alive,"yearColumn = 2007, Banded 2 July; yearColumn = 2008, resighted by participant 27 December.; yearColumn = 2009, resighted by participant 18 December.; yearColumn = 2010, resighted by participant 6/19/10",0
GECACARVA1,,2010-01-01,2261-38333,P,alive,"yearColumn = 2007, banded 13-Jul; yearColumn = 2010, resighted by participant 12/18/2010; 1/1/2011; yearColumn = 2011, resighted by neighbor 5/20",0
GECACARVA1,,2010-01-02,2441-14108,P,alive,"yearColumn = 2009, Banded 5/30/2009; yearColumn = 2010, resighted 7/2/2010; resighted by participant 18 Dec; 1/2/2011; yearColumn = 2011, resighted by participant 2/11/2012; yearColumn = 2012, Resight 6/26/2012,
resighted by participant 04/02/2012; yearColumn = 2013, Recapture 7/10/2013",0
BRENSTEMD1,,2010-01-03,2421-11789,P,alive,"yearColumn = 2010, banded 7/21/10; yearColumn = 2011, Resight by participant 1/3/11, 11/17/11",0
BRENSTEMD1,,2010-01-03,2590-83180,P,alive,"yearColumn = 2010, banded 7/21/10; yearColumn = 2011, Resight by participant 1/3/11",0
BRENSTEMD1,,2010-01-06,2411-37232,P,alive,"yearColumn = 2009, banded 5/27/2009, resighted 10/14/09 by participant; yearColumn = 2010, recaptured 7/21/10; yearColumn = 2011, Resight by participant 1/6/11",0
KNIGSALVA1,,2010-01-08,2301-56867,P,alive,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 21 april; yearColumn = 2010, resighted by participant 8 Jan 2011",0
KNIGSALVA1,,2010-01-08,2590-82234,P,alive,"yearColumn = 2009, banded 7/13; yearColumn = 2010, resighted by participant 8 Jan 2011; yearColumn = 2011, resighted by participant 6 March",0
RAUNERIMD1,,2010-01-15,1991-46150,P,alive,"yearColumn = 2007, banded 6 july; yearColumn = 2008, resighted 6 April by participant; yearColumn = 2009, resighted by partic
ipant 22 February. Resighted by JLD 22-Jul; yearColumn = 2010, resighted by participant 20 March; 15 Jan 2011",0
SUBRSTEMD1,,2010-02-20,2251-80091,P,alive,"yearColumn = 2008, Banded May 27; yearColumn = 2009, resighted by participant 13 Feb; yearColumn = 2010, resighted 5/29/2010; resighted by participant 20 Feb",0
PHILJIMPA1,,2015-06-18,2651-56556,P,found dead,Banded on 6/17/2015.  Found dead on side of house on 6/18/2015,0
TESTINGDC1,2018-11-29 16:57:52,2018-11-29,2690-95984,P,alive,"this is a very long comment, because some people really like to add long comments and here I am giving them the opportunity to do sol.",1
CARRPAGCO1,2018-12-07 19:43:12,2018-04-11,2701-12100,P,alive,"Returned to yard, announcing his arrival with lots of song. Monitored him for 15 minutes - he checked out all the bushes, took a drink from the birdbath - appears to be looking for a nest spot.",0
CLYMSTEMA1,2018-12-07 19:44:30,2018-06-29,2731-56006,P,alive,feeding young in nest in multiflora rose bush in neighbor's backyard - submitted nest form for that nest and harvested 8/8/18,0
CLYMSTEMA1,2018-12-07 19:44:57,2018-07-27,2731-56006,P,alive,"With food in beak, flying around behind the shed, there must be a nest in the arbor vitae but I can't find it.",0
CLYMSTEMA1,2018-12-07 19:45:39,2018-06-29,2850-45406,P,alive,singing by nest box with wire mesh predator guard and all over the place - that nest box had both HOWR nests this season,0
CLYMSTEMA1,2018-12-07 19:46:05,2018-07-27,2850-45406,P,alive,Feeding young in box with an unbanded female (can't believe there are still unbanded HOWR in this yard) - this nest was harvested and data submitted 8/8/18,0
DICKSUSPA1,2018-12-07 19:49:41,2018-08-12,1372-63513,P,alive,Male banded 2018. Seen in side yard along with a bunch of juveniles.,0
DICKSUSPA1,2018-12-07 19:50:33,2018-06-24,1372-63514,P,alive,This male robin banded this year 2018. A mate to a banded female from 2017. Observing their nest in my front yard. This date male seen collecting food and feeding young.,0
DICKSUSPA1,2018-12-07 19:51:16,2018-08-17,1372-63514,P,alive,Seen carrying food to a possible nest at the top of a tall Oak tree. I was not able to see where the nest was but I saw this robin carrying food often.,0
DICKSUSPA1,2018-12-07 19:51:34,2018-09-16,1372-63514,P,alive,"After not seeing the Robins for at least a week, this evening saw a group of 5 and this one was in the group. Probably the last time seeing this fall.",0
DICKSUSPA1,2018-12-07 19:52:14,2018-10-10,1372-63514,P,alive,Male robin that was banded this year. Seen in my back yard with about 12 other robins. Maybe another banded robin in this group but I was only able to identify this one.,0
DICKSUSPA1,2018-12-07 19:52:53,2018-10-07,1372-29403,P,alive,"Feathers on chest looking much better than when I saw her 3 weeks ago, must have been molting. Seen with a group of other Robins in the back yard.",0
DICKSUSPA1,2018-12-07 19:53:14,2018-09-16,1372-29403,P,alive,Have not seen her for a while. This date saw banded male/ her mate. This female was banded in 2017 and recaught this year 2018. Chest feathers looking very scruffy.,0
DICKSUSPA1,2018-12-07 19:53:32,2018-08-18,1372-29403,P,alive,Female seen carrying food to top of a tall oak. Can not see a nest but she is carrying food often to same location.,0
DICKSUSPA1,2018-12-07 19:54:13,2018-06-24,1372-29403,P,alive,Banded in 2017. This female feeding young at a nest in my front yard. Male from this pair just banded in 2018.,0
DICKSUSPA1,2018-12-07 19:55:32,2018-04-26,1372-29403,P,alive,This female banded in 2017 is now nest building in my side yard. A male robin not banded appears to be hanging out with this one. Nest will be observed but too high up to count eggs.,0
DICKSUSPA1,2018-12-07 19:55:54,2018-05-28,1372-29403,P,alive,Seen nest building in my front yard. Her leg bands were muddy. This is the second nest for this bird. First nest failed earlier in May.,0
DICKSUSPA1,2018-12-07 19:56:58,2018-03-29,1342-45506,P,alive,This Robin was banded in my yard in 2016 and this is the second year he has come back!,0
DICKSUSPA1,2018-12-07 19:57:26,2018-04-24,1342-45506,P,alive,Has been seen consistently in my back yard. Not sure what female he is paired with this year. For sure he is not hanging around the banded female he was paired with last year.,0
DICKSUSPA1,2018-12-07 19:58:09,2018-06-30,1342-45506,P,alive,this one was banded in 2016. seen singing in yard.,0
DICKSUSPA1,2018-12-07 19:58:26,2018-07-24,1342-45506,P,alive,"Seen in backyard, neighbor, This bird was banded in 2016.",0
DICKSUSPA1,2018-12-07 19:59:52,2018-07-16,1342-45507,P,alive,"This female banded in 2016 and not seen again by me till this year. I have been watching this female on a nest in my next yard. This is the date she was last seen feeding the young nestlings in the nest. Nest failed for unknown reason. I did not see her again, nor the nestlings.",0
DICKSUSPA1,2018-12-07 20:00:50,2018-06-30,2711-57823,P,alive,Banded 2018. This male has made a nest in an open box hanging on my porch. Waiting to see if nesting progresses. This date male is seen singing many places near the nest box.,0
DICKSUSPA1,2018-12-07 20:01:08,2018-07-27,2711-57823,P,alive,Male banded 2018. Feeding nestlings in nestbox on my front porch. And singing!,0
DICKSUSPA1,2018-12-07 20:01:24,2018-08-03,2711-57823,P,alive,Male banded 2018. With female and 4 fledglings. Feeding and singing.,0
DICKSUSPA1,2018-12-07 20:01:38,2018-10-09,2711-57823,P,alive,"Seen in my side yard by the woodpile, singing!!! This is the male that was banded this year and nested on my front porch.",0
DICKSUSPA1,2018-12-07 20:06:31,2018-06-28,2810-00921,P,alive,This female banded 6/20/18. Has been on nest at a nest box in my front yard. On nest at this date.,0
DICKSUSPA1,2018-12-07 20:06:50,2018-07-15,2810-00921,P,alive,This female banded this year. Feeding young in nest box in my front yard. Young will fledge today. This was the last I saw of all. When babies fledged I didn't see them again..,0
DICKSUSPA1,2018-12-07 20:08:04,2018-07-30,2771-42111,P,alive,Male banded in 2017. In the birdbath and singing.,0
DICKSUSPA1,2018-12-07 20:08:49,2018-05-20,2771-42111,P,alive,7:30 am Singing in the back yard. Has been singing in the area and also feeding young in a nest in neighbors front yard.,0
DICKSUSPA1,2018-12-07 20:09:21,2018-04-25,2771-42111,P,alive,This banded male from 2017 has been seen singing through out my yard for the month of April. He also has been seen with another song sparrow (not banded) who was collecting nesting material and building a nest in next door neighbors yard shrub. This will be monitored to check.,0
DOPPJANMA1,2018-12-07 20:13:19,2018-05-24,1212-27652,P,alive,Bird is incubating 4 eggs in a nest 4' off ground in bushy area. Eggs first noticed on 5/13. Approach to nest is covered with poison ivy so I monitor rarely.,0
DOPPJANMA1,2018-12-07 20:19:03,2018-04-10,2750-34995,P,alive,"275034995, Bird was hanging out with chickadee banded 269087755with whom she fledged young last summer. No other chickadees were present.",0
DOPPJANMA1,2018-12-07 20:21:06,2018-03-10,2690-87755,P,alive,"269087755, Bird was hanging out with chickadee banded 278093372 with whom he fledged young last summer. No other chickadees were present.",0
DOPPJANMA1,2018-12-07 20:21:20,2018-06-01,2690-87755,P,alive,Chickadee checked out two nest boxes today. Both are already occupied. This bird successfully nested last year in one of the nest boxes he checked today.,0
DOPPJANMA1,2018-12-07 20:27:07,2018-06-26,2731-55802,P,alive,Adult cardinal fed a fledgling that was perched in a tree.,0
DOPPJANMA1,2018-12-07 20:27:21,2018-07-21,2731-55802,P,alive,This female is almost always seen with male 273155803. Both birds have been observed several times since they were banded in my yard on 05/10/18.,0
DOPPJANMA1,2018-12-07 20:30:53,2018-11-09,2731-55803,P,alive,"Green band on left leg is missing. This bird was netted with female 273155802 in summer 2018. He and the female continue to be together, today they were at feeder together.",0
DOPPJANMA1,2018-12-07 20:32:46,2018-06-26,2850-45404,P,alive,Wren banded 06/25/18. Wren has been singing on or near a nest box bearing 7 house wren eggs.,0
DOPPJANMA1,2018-12-07 20:34:04,2018-05-26,2780-93373,P,alive,Bird is consistently singing with a few yards of the nest box in he partnered to fledge two birds in 2016.,0
MOSMCARMD1,,2012-06-15,2411-37220,P,alive,"yearColumn = 2009, banded 5/19/2009; yearColumn = 2012, Resight by participant 6/2012; yearColumn = 2014, Resight by BD June 19; yearColumn = 2015, Resight by KO 6/13/2015",0
MOSMCARMD1,,2012-06-15,2411-37221,P,alive,"yearColumn = 2009, banded 5/19/2009; yearColumn = 2010, recaptured 7/24/10; yearColumn = 2012, Resight by participant 6/2012",0
